task,product
Board pretreatment and punching,Gemtree FRP Board
Board pretreatment and punching,Cement Board
Board pretreatment and punching,Lysaght Bondek
Board pretreatment and punching,Knauf FRP Board
Board pretreatment and punching,Gypsum Board
Board pretreatment and punching,Promatect HBoard
2D panel assembly ,Composite floor slab
2D panel assembly ,Corrugated profile
2D panel assembly ,Shear stud
Butt weld and fillet weld,Welding Electrode
Butt weld and fillet weld,Electrode
Butt weld and fillet weld,metal pencil
Butt weld and fillet weld,Welding rod
3D assembly,Corner Casting
3D assembly,Steel floor beam
3D assembly,Steel Column
3D assembly,Steel ceiling beam
3D assembly,Steel Angle
3D assembly,Steel Purlins
Apply fire paint at strucutral member,Firecut FM-900 paint
Apply fire paint at strucutral member,Firecut paint
Apply fire paint at strucutral member,Fire protection paint
Rebar Fixing,Tie Wire
Rebar Fixing,Rebar
Rebar Fixing,Spacer
Rebar Fixing,Steel Reinforcement Bar
Rebar Fixing,Bar Chair
Rebar Fixing,Reinforcement Bar
Pouring Concrete,Concrete addings
Pouring Concrete,Concrete mixture
Pouring Concrete,Concrete
Pouring Concrete,Non-shrink Grout
Door ironmongery installation,Door Ironmongery
Door ironmongery installation,Latches
Door ironmongery installation,Handle
Door ironmongery installation,Timber Door
Door ironmongery installation,Non-FRP Timber Door
Door ironmongery installation,Hinge
Door ironmongery installation,FRP Timber Door
Window ironmongery installation,Latches
Window ironmongery installation,Aluminium Window
Window ironmongery installation,Glass Panel
Window ironmongery installation,Handle
Window ironmongery installation,Hinge
Door frame installation,Door Frame
Door frame installation,Door threshold
Door frame installation,Acoustic Insulation
Door frame installation,Hardwood Solid Core Flush Doors
Door frame installation,Overhead Door Closer
Door frame installation,Rockwool Acoustic Insulation
Door frame installation,Aluminium Cladding
Window frame installation,Rockwool Acoustic Insulation
Window frame installation,Aluminium Cladding
Window frame installation,Acoustic Insulation
Installation of gypsum board at wall surface,Laminates
Installation of gypsum board at wall surface,Laminate for wall finsishes
Installation of gypsum board at wall surface,Gypsum Board
Installation of gypsum board at wall surface,Finishings
Installation of MEP conduit at wall surface,uPVC Conduits and Fittings
Installation of MEP conduit at wall surface,Flexible Conduit
Installation of MEP conduit at wall surface,uPVC Conduits
Installation of MEP conduit at wall surface,Condiuts and Accessories
Installation of MEP conduit at wall surface,Conduit
Installation of MEP conduit at wall surface,MEP Conduit
Stud installation at wall,Shear stud
Stud installation at wall,Runners
Stud installation at wall,Track
Stud installation at wall,Noggins and Braces
Stud installation at wall,Wall panel
Stud installation at wall,Channel
Stud installation at wall,Wall Tiles
Stud installation at wall,Metal Skeleton
Rockwool in-fill at wall,Rockwool
Rockwool in-fill at wall,Mineral Wool Insulation
Fire board installation at wall,Promatect Hboard
Fire board installation at wall,Gemtree Board
Fire board installation at wall,Gemtree FRP Board
Stud installation at ceiling,Shear stud
Stud installation at ceiling,Runners
Stud installation at ceiling,Track
Stud installation at ceiling,Noggins and Braces
Stud installation at ceiling,ceiling panel
Stud installation at ceiling,Channel
Stud installation at ceiling,Wall Tiles
Stud installation at ceiling,Metal Skeleton
Rockwool in-fill at ceiling,Rockwool
Rockwool in-fill at ceiling,Mineral Wool Insulation
Fire board installation at ceiling,Promatect Hboard
Fire board installation at ceiling,Gemtree Board
Fire board installation at ceiling,Gemtree FRP Board
Layer and coat painting at wall,Emulsion Paint
Layer and coat painting at wall,Anti-mould Emulsion Paint
Layer and coat painting at wall,Emulsion 
Layer and coat painting at ceiling,Emulsion Paint
Layer and coat painting at ceiling,Anti-mould Emulsion Paint
Layer and coat painting at ceiling,Emulsion 
Installation of lighting,Battery Lighting Fittings
Installation of lighting,Flexible Conduit
Installation of lighting,Label
Installation of lighting,Wiring Accessories
Installation of lighting,Weather Wiring Accessories
Installation of lighting,Lightings
Installation of lighting,Cable Trunking
Installation of lighting,Lighting Fittings
Electrical Cable Wiring,PVC cable
Electrical Cable Wiring,Cable Tray
Electrical Cable Wiring,PVC copper cable
Electrical Cable Wiring,SWA copper cable
Electrical Cable Wiring,Non-Armoured Cable
Electrical Cable Wiring,Amoured wiring
Installation of MEP trunking at ceiling,Copper Pipes
Installation of MEP trunking at ceiling,Epoxy Coated Cast iron Pipes
Installation of MEP trunking at ceiling,Cable Trunking
Installation of MEP trunking at ceiling,Epoxy Coated Cast Fittings
Installation of MEP trunking at ceiling,Epoxy 
Installation of MEP trunking at ceiling,uPVC Pipes
Installation of MEP trunking at ceiling,uPVC Fittings
Installation of MEP trunking at ceiling,Epoxy pipes
Installation of sprinkler pipes,Galvanized Steel Pipes Fittings
Installation of sprinkler pipes,Sprinkler Heads
Installation of sprinkler pipes,Smoke Detectors
Installation of sprinkler pipes,Grooved Pipe Fittings
Installation of sprinkler pipes,Fire Alarm Bells
Installation of sprinkler pipes,Fire Detector
Installation of sprinkler pipes,Grooved Couplings
Installation of sprinkler pipes,Galvanized Steel Pipes
Installation of sprinkler pipes,Fire Alarm
Window type AC installation,Air Diffuser
Window type AC installation,AC
Window type AC installation,Rubber Vibration Isolators
Window type AC installation,Air Grilles / Diffuser
Window type AC installation,Carbon Filter
Window type AC installation,Window type AC
Window type AC installation,Air Grilles
Window type AC installation,Activated Carbon Filter
Window type AC installation,Spring Vibration Isolators
Window type AC installation,Ventilation fan
Window type AC installation,Air filters
Installation of Vinyl floor and skirting,PVC Sheet Vinyl
Installation of Vinyl floor and skirting,Porcelain Floor Tiles
Installation of Vinyl floor and skirting,PVC skirting with timber parttern
Installation of Vinyl floor and skirting,Non-slip PVC Sheet Vinyl
Installation of Vinyl floor and skirting,Homogeneous Skirting Tile
Installation of Vinyl floor and skirting,Coved Homogeneous Skirting Tile
Installation of Vinyl floor and skirting,PVC skirting
Cabinets installation,Toilet-Sink Cabinet
Cabinets installation,Cabinets
Cabinets installation,TV Cabinet
Cabinets installation,Wall Cabinet
Cabinets installation,Toilet cabinet
Cabinets installation,Sink Cabinet
