package,task
0,Board pretreatment and punching
0,Board pretreatment and punching
0,Board pretreatment and punching
0,Board pretreatment and punching
0,Board pretreatment and punching
0,Board pretreatment and punching
0,2D panel assembly 
0,2D panel assembly 
0,2D panel assembly 
0,Butt weld and fillet weld
0,Butt weld and fillet weld
0,Butt weld and fillet weld
0,Butt weld and fillet weld
1,3D assembly
1,3D assembly
1,3D assembly
1,3D assembly
1,3D assembly
1,3D assembly
1,Apply fire paint at strucutral member
1,Apply fire paint at strucutral member
1,Apply fire paint at strucutral member
2,Rebar Fixing
2,Rebar Fixing
2,Rebar Fixing
2,Rebar Fixing
2,Rebar Fixing
2,Rebar Fixing
2,Pouring Concrete
2,Pouring Concrete
2,Pouring Concrete
2,Pouring Concrete
3,Door ironmongery installation
3,Door ironmongery installation
3,Door ironmongery installation
3,Door ironmongery installation
3,Door ironmongery installation
3,Door ironmongery installation
3,Door ironmongery installation
3,Window ironmongery installation
3,Window ironmongery installation
3,Window ironmongery installation
3,Window ironmongery installation
3,Window ironmongery installation
4,Door frame installation
4,Door frame installation
4,Door frame installation
4,Door frame installation
4,Door frame installation
4,Door frame installation
4,Door frame installation
4,Window frame installation
4,Window frame installation
4,Window frame installation
5,Installation of gypsum board at wall surface
5,Installation of gypsum board at wall surface
5,Installation of gypsum board at wall surface
5,Installation of gypsum board at wall surface
5,Installation of MEP conduit at wall surface
5,Installation of MEP conduit at wall surface
5,Installation of MEP conduit at wall surface
5,Installation of MEP conduit at wall surface
5,Installation of MEP conduit at wall surface
5,Installation of MEP conduit at wall surface
6,Stud installation at wall
6,Stud installation at wall
6,Stud installation at wall
6,Stud installation at wall
6,Stud installation at wall
6,Stud installation at wall
6,Stud installation at wall
6,Stud installation at wall
6,Rockwool in-fill at wall
6,Rockwool in-fill at wall
6,Fire board installation at wall
6,Fire board installation at wall
6,Fire board installation at wall
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Stud installation at ceiling
7,Rockwool in-fill at ceiling
7,Rockwool in-fill at ceiling
7,Fire board installation at ceiling
7,Fire board installation at ceiling
7,Fire board installation at ceiling
8,Layer and coat painting at wall
8,Layer and coat painting at wall
8,Layer and coat painting at wall
8,Layer and coat painting at ceiling
8,Layer and coat painting at ceiling
8,Layer and coat painting at ceiling
9,Installation of lighting
9,Installation of lighting
9,Installation of lighting
9,Installation of lighting
9,Installation of lighting
9,Installation of lighting
9,Installation of lighting
9,Installation of lighting
9,Electrical Cable Wiring
9,Electrical Cable Wiring
9,Electrical Cable Wiring
9,Electrical Cable Wiring
9,Electrical Cable Wiring
9,Electrical Cable Wiring
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of MEP trunking at ceiling
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
10,Installation of sprinkler pipes
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
11,Window type AC installation
12,Installation of Vinyl floor and skirting
12,Installation of Vinyl floor and skirting
12,Installation of Vinyl floor and skirting
12,Installation of Vinyl floor and skirting
12,Installation of Vinyl floor and skirting
12,Installation of Vinyl floor and skirting
12,Installation of Vinyl floor and skirting
12,Cabinets installation
12,Cabinets installation
12,Cabinets installation
12,Cabinets installation
12,Cabinets installation
12,Cabinets installation
